label;LE_max;S_max
29688;0.00105705;221.298
29689;0.00116333;243.844
29690;0.00111796;231.697
29691;0.00114029;237.627
29692;0.00115167;240.967
29693;0.000877543;184.603
29694;0.00116368;243.934
29695;0.000968493;204.157
29696;0.000962383;204.238
29697;0.000852291;182.092
29698;0.000928191;197.995
29699;0.000250201;51.51
29700;0.000971635;208.023
29701;0.000913596;195.137
29702;0.000915006;192.005
29703;0.000879882;189.738
29704;0.000859337;182.578
29705;0.000903707;191.416
29706;0.000463967;97.9932
29707;0.000840284;181.103
29708;0.000762879;158.405
29709;0.000694417;147.832
29710;0.000612066;131.693
29711;0.000839295;181.658
29712;0.000915408;196.116
29713;0.000976422;206.718
29714;0.000880191;189.897
29715;0.000689502;146.478
29716;0.00143656;308.448
29717;0.00062375;131.583
29718;0.000925173;198.296
29719;0.00117403;246.549
29720;0.00080154;174.129
29721;0.000545951;120.369
29722;0.000667619;140.918
29723;0.000645896;140.562
29724;0.000748261;144.484
29725;0.000816042;162.439
29726;0.000892;177.566
29727;0.00089026;174.945
29728;0.000876072;172.639
29729;0.000877214;188.71
29730;0.000869476;186.993
29731;0.00094005;181.042
29732;0.000720676;157.913
29733;0.000903711;176.739
29734;0.000881953;189.829
29735;0.00144071;312.138
29736;0.000901123;178.018
29737;0.000551101;111.337
29738;0.000807984;157.973
29739;0.000807971;158.658
29740;0.000829741;179.402
29741;0.000854429;168.449
29742;0.000750637;158.341
29743;0.000864392;172.443
29744;0.000884594;176.718
29745;0.000834677;180.266
29746;0.00084325;182.481
29747;0.00106412;224.616
29748;0.00150885;330.302
29749;0.000883874;173.68
29750;0.00113838;235.937
29751;0.000876708;188.659
29752;0.00115407;238.509
29753;0.00115202;237.66
29754;0.000841381;181.761
29755;0.000885425;190.906
29756;0.000838677;181.575
29757;0.00114719;237.174
29758;0.00114102;236.229
29759;0.00114143;236.288
29760;0.000929382;197.324
29761;0.000869615;187.046
29762;0.000936245;200.007
29763;0.00137316;287.447
29764;0.001217;250.174
29765;0.00141403;297.617
29766;0.00138926;290.611
29767;0.000728114;159.817
29768;0.00143721;304.973
29769;0.00146326;312.124
29770;0.00087083;187.462
29771;0.00131522;267.695
29772;0.00130779;267.235
29773;0.00138322;288.815
29774;0.00099369;194.056
29775;0.00136727;293.352
29776;0.000972092;190.867
29777;0.000762373;156.699
29778;0.00151753;334.09
29779;0.000791631;171.842
29780;0.000930452;186.628
29781;0.00132122;286.08
29782;0.000723294;148.603
29783;0.000950786;189.206
29784;0.00086899;184.878
29785;0.000829538;179.079
29786;0.000796596;172.713
29787;0.0009249;186.594
29788;0.000879762;186.573
29789;0.000804694;174.803
29790;0.00066096;145.911
29791;0.000802742;174.38
29792;0.000726285;158.892
29793;0.000838862;181.565
29794;0.000929601;196.647
29795;0.000942687;200.148
29796;0.000800008;173.891
29797;0.000727843;157.763
29798;0.000594707;133.505
29799;0.000672237;148.032
29800;0.000636137;140.288
29801;0.000617038;136.815
29802;0.000687153;150.63
29803;0.000668579;146.461
29804;0.00085316;182.845
29805;0.000834958;180.475
29806;0.000925266;194.418
29807;0.000666585;145.322
29808;0.000685329;148.634
29809;0.000668623;145.98
29810;0.000682262;148.816
29811;0.000649027;141.404
29812;0.000659841;144.113
29813;0.000679878;146.912
29814;0.000697376;150.458
29815;0.000903064;192.958
29816;0.00061824;136.026
29817;0.000603757;133.366
29818;0.00059096;130.296
29819;0.000555401;124.137
29820;0.000755288;164.686
29821;0.000596913;130.455
29822;0.000590328;129.722
29823;0.000560511;125.022
